name,gmap_id,latitude,longitude,stars,review_count,hours_Monday,hours_Tuesday,hours_Wednesday,hours_Thursday,hours_Friday,hours_Saturday,hours_Sunday,city,ZIP Code
Sprezzatura,0x8834f322e1faf049:0x714d4c3968d26b57,40.4798429,-79.9712776,4.9,32,Closed,Closed,00:00–19:00,17:00–21:00,17:00–21:00,17:00–21:00,Closed,Pittsburgh,15209
Sprezzatura,0x8834f322e1faf049:0x714d4c3968d26b57,40.4798429,-79.9712776,4.9,32,Closed,Closed,00:00–19:00,17:00–21:00,17:00–21:00,17:00–21:00,Closed,Pittsburgh,15209
Ledo Pizza,0x89c99f2588c5d83f:0xa1e6dd675cd1b0d3,39.927437,-77.63077,4.0,48,11:00–21:00,11:00–21:00,11:00–21:00,11:00–21:00,11:00–22:00,11:00–22:00,11:00–21:00,Chambersburg,17202
Trios Fresh Italian,0x89c6c72f62569479:0x861f3c72038cc45f,39.970723799999995,-75.15773879999999,3.7,33,10:00–23:00,10:00–23:00,10:00–23:00,10:00–23:00,10:00–02:00,10:00–02:00,10:00–23:00,Philadelphia,19123
Chiaro's Pizzeria & Restaurant Pennsburg,0x89c427b3ec5af585:0xa6695fdecdd16ee5,40.3990478,-75.4976949,2.7,28,11:00–20:00,11:00–20:00,11:00–20:00,11:00–20:00,11:00–21:00,11:00–21:00,11:00–20:00,Pennsburg,18073
Monte Cello's of Baden,0x883465a4025a8443:0x5f14a33a02b84021,40.6387797,-80.23115109999999,4.9,25,Closed,11:00–21:00,11:00–21:00,11:00–21:00,11:00–21:00,11:00–21:00,11:00–20:00,Baden,15005
Top Notch Pizza,0x89c50fc672170849:0xf78192e168814244,41.1965631,-75.93264719999999,4.3,16,Closed,Closed,Closed,Closed,16:00–21:00,16:00–21:00,Closed,Sugar Notch,18706
South Philly Italian Kitchen,0x89c6b9a5f1afaaab:0xc1063d9360ac000d,40.0541318,-75.1943977,4.4,55,Closed,17:00–21:00,17:00–21:00,17:00–21:00,5–9:30PM,5–9:30PM,4–8:30PM,Philadelphia,19119
The Roosevelt Building,0x8834f15641e35b61:0x9769a22b55e105a3,40.442995599999996,-80.00210679999999,3.5,14,8:30AM–5PM,8:30AM–5PM,8:30AM–5PM,8:30AM–5PM,8:30AM–5PM,Closed,Closed,Pittsburgh,15222
Lucchesi's Restaurant,0x88351d0f882deddf:0x594e0b1896f2bf18,40.161198999999996,-79.88374,4.8,64,Closed,Closed,Closed,17:00–21:00,17:00–21:00,17:00–21:00,Closed,Monessen,15062
Villa Fresh Italian Kitchen,0x88339f1cf261852f:0x585ab9cecde549e2,41.1398611,-80.15684259999999,4.0,25,10:00–21:00,10:00–21:00,10:00–21:00,10:00–21:00,10:00–21:00,10:00–21:00,11:00–18:00,Grove City,16127
Pizzaiola,0x89c63c51ae6ce091:0x14244b96b711f780,40.084210999999996,-76.215368,4.0,58,10:00–22:00,10:00–22:00,10:00–22:00,10:00–22:00,10:00–23:00,10:00–23:00,11:00–21:00,Leola,17540
Giovanni's,0x8833c168aa80cc75:0xf92c45a8a09385a5,41.232946899999995,-80.4844181,4.6,14,Closed,11:00–20:00,11:00–20:00,11:00–20:00,11:00–21:00,11:00–21:00,Closed,Sharon,16146
Reeds Pizza Restaurant,0x883330f2c8914771:0x12c967cd0626c7d6,41.2355872,-79.5369412,3.8,8,Closed,Closed,Closed,Closed,4:30–8PM,4:30–8PM,Closed,Knox,16232
Mama's Restaurant,0x88327b0d57403067:0x337096276c38fc3,42.0284045,-80.2590953,4.5,16,11:00–21:00,11:00–21:00,11:00–21:00,11:00–21:00,11:00–21:00,11:00–21:00,11:00–21:00,Fairview,16415
Sbarro,0x89c8c20f8b153e31:0xce2e1123a4986936,40.222671,-76.934039,3.4,28,10:00–21:00,10:00–21:00,10:00–21:00,10:00–21:00,10:00–21:00,10:00–21:00,11:00–18:00,Camp Hill,17011
Sal's Italian Ristorante and Pizzeria,0x89c6f4d709fc03f9:0xb7eb806b16d462db,40.049846099999996,-75.6639825,4.4,105,Closed,10:00–22:00,10:00–22:00,10:00–22:00,10:00–23:00,10:00–23:00,11AM–9:30PM,Exton,19341
Napoli Pizza,0x89c6866a40550965:0x9bc4a558733857ac,40.2449148,-75.64252789999999,4.0,3,11:00–21:00,11:00–21:00,11:00–21:00,11:00–21:00,11:00–21:00,11:00–21:00,11:00–21:00,Pottstown,19464
Clementina's Pizzeria & Ristorante,0x89c9add5a1e5275d:0x24681d0392e2edd8,39.8220921,-77.2722132,4.3,38,Closed,11AM–8:30PM,11AM–8:30PM,11AM–8:30PM,11:00–21:00,11:00–21:00,11AM–8:30PM,Gettysburg,17325
Trattoria Valona,0x89c6af95cf59c2f1:0xd818f2dffba99dcb,40.1705417,-75.1115738,4.9,16,10:00–21:00,10:00–21:00,10:00–21:00,10:00–21:00,10:00–22:00,10:00–22:00,00:00–20:00,Hatboro,19040
Amis Trattoria,0x89c695e79f965fbf:0x6cc95c2e1cc9c156,40.045269499999996,-75.4218179,4.3,7,16:00–21:00,16:00–21:00,16:00–21:00,16:00–21:00,16:00–21:00,00:00–21:00,00:00–21:00,Devon,19333
Caruso's Ristorante Italiano,0x89c6ae685bdbfcf9:0xf0de1adc69fee3a9,40.180399799999996,-75.0861001,4.6,88,Closed,Closed,16:00–20:00,16:00–20:00,16:00–21:00,16:00–21:00,16:00–20:00,Hatboro,19040
Rob's Pizza,0x8834c142b47ddbd7:0x636b6c4741b7cd7f,40.426201999999996,-79.671088,4.2,48,11:00–19:00,11:00–19:00,11:00–19:00,11:00–19:00,11:00–20:00,11:00–20:00,Closed,Murrysville,15668
Luciano's Pizzeria & Ristorante,0x89c69b8e83e22a45:0x1ccc77062a580dfb,40.219943099999995,-75.5074245,4.6,38,Closed,10:30AM–10PM,10:30AM–10PM,10:30AM–10PM,10:30AM–10PM,10:30AM–10PM,11:00–21:00,Royersford,19468
Villa Fresh Italian Kitchen,0x88348ca06aae511f:0xf338458da588cf3a,40.543438099999996,-80.0085581,4.4,18,10:00–21:00,10:00–21:00,10:00–21:00,10:00–21:00,10:00–21:00,10:00–21:00,11:00–18:00,Pittsburgh,15237
Briano's Italiano,0x89c67131d7f0e907:0xe98416bf5936470,40.2924003,-75.9783477,4.8,58,Closed,11:00–21:00,11:00–21:00,11:00–21:00,11:00–21:00,11:00–21:00,11:00–21:00,Mohnton,19540
Generations a Restaurant,0x88353e2ee535c2bf:0x13f2d94af52c90f2,39.9009242,-79.732473,4.3,25,Closed,17:00–21:00,17:00–21:00,17:00–21:00,17:00–21:00,17:00–21:00,Closed,Uniontown,15401
Fox's Pizza Den,0x8834914a1087c9e5:0xae5e17660935286c,40.6082302,-79.8331458,3.9,56,10:00–21:00,10:00–21:00,10:00–21:00,10:00–21:00,10:00–22:00,10:00–22:00,11:00–21:00,Russellton,15076
Parmigiana,0x89c6c9235f11b0d3:0x10983638e897e7b5,39.9633909,-75.1468081,4.8,28,Closed,4:30–9PM,4:30–9PM,4:30–9PM,4:30–9PM,4:30–9PM,4:30–9PM,Philadelphia,19123
New Holiday Express Pizza,0x89c6b9e8175d4667:0xee8029bfbbab1beb,40.060845,-75.16739,3.7,98,11:00–22:00,11:00–22:00,11:00–22:00,11:00–22:00,11:00–23:00,11:00–23:00,00:00–22:00,Philadelphia,19150
Pizata,0x89c6944a6640a471:0x91d756b082120344,40.088211799999996,-75.3914333,4.5,16,11:00–21:00,11:00–21:00,11:00–21:00,11:00–21:00,11:00–21:00,11:00–21:00,11:00–21:00,King of Prussia,19406
Rocco's Pizza,0x89cf155e2083a883:0x2ac48227bd33ba3,40.8420446,-76.8509059,4.3,116,11:00–21:00,11:00–21:00,11:00–21:00,11:00–21:00,11:00–22:00,11:00–22:00,00:00–20:00,Selinsgrove,17870
Cosimo's Pizza Inc,0x89c6b03abbe39233:0xe3ecb717b48d1cb8,40.1405057,-75.1232978,2.5,48,11:00–21:00,11:00–21:00,11:00–21:00,11:00–21:00,11:00–21:00,11:00–21:00,11:00–18:00,Willow Grove,19090
Woodstreet Grill,0x89ccb3a12f17996b:0xc8758b8d34e06dff,41.0016053,-79.3320239,2.0,1,07:00–19:00,07:00–19:00,07:00–19:00,07:00–20:00,07:00–20:00,06:00–15:00,07:00–14:00,New Bethlehem,16242
