business_id,name,address,city,ZIP Code,latitude,longitude,stars,review_count,BusinessParking,BestNights,RestaurantsReservations,HappyHour,NoiseLevel,Ambience,RestaurantsGoodForGroups,WiFi,RestaurantsAttire,OutdoorSeating,RestaurantsTableService,Alcohol,RestaurantsPriceRange2,GoodForKids,BusinessAcceptsCreditCards,Caters,GoodForMeal,HasTV,WheelchairAccessible,BikeParking,DogsAllowed,Corkage,BYOB,DriveThru,BYOBCorkage,Smoking,Music,CoatCheck,BusinessAcceptsBitcoin,ByAppointmentOnly,GoodForDancing,RestaurantsTakeOut,RestaurantsDelivery,BestNights,RestaurantsReservations,HappyHour,NoiseLevel,RestaurantsGoodForGroups,WiFi,RestaurantsAttire,OutdoorSeating,RestaurantsTableService,Alcohol,RestaurantsPriceRange2,GoodForKids,BusinessAcceptsCreditCards,Caters,HasTV,WheelchairAccessible,BikeParking,DogsAllowed,Corkage,BYOB,DriveThru,BYOBCorkage,Smoking,Music,CoatCheck,BusinessAcceptsBitcoin,ByAppointmentOnly,GoodForDancing,GoodForMeal_dessert,GoodForMeal_latenight,GoodForMeal_lunch,GoodForMeal_dinner,GoodForMeal_brunch,GoodForMeal_breakfast,BusinessParking_valet,BusinessParking_garage,BusinessParking_street,BusinessParking_lot,BusinessParking_validated,Ambience_divey,Ambience_hipster,Ambience_casual,Ambience_touristy,Ambience_trendy,Ambience_intimate,Ambience_romantic,Ambience_classy,Ambience_upscale,hours_Tuesday,hours_Wednesday,hours_Thursday,hours_Friday,hours_Saturday,hours_Sunday,hours_Monday
ABxoFuzZy5mqQ8C5FJJajQ,Core de Roma,201 jefferson st,bala cynwyd,19004,40.0283575,-75.2380841,5.0,12,"{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}","{u'monday': False, u'tuesday': False, u'wednesday': False, u'thursday': False, u'friday': False, u'saturday': False, u'sunday': False}",True,True,u'average',"{'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': False, 'classy': False, 'trendy': False, 'upscale': False, 'casual': True}",True,u'free',u'casual',True,True,u'full_bar',2.0,False,True,True,"{u'breakfast': False, u'brunch': None, u'lunch': None, u'dinner': True, u'latenight': False, u'dessert': False}",True,True,False,True,,,,,u'no',"{'dj': False, 'background_music': False, 'no_music': False, 'jukebox': False, 'live': True, 'video': False, 'karaoke': False}",False,,False,False,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,15:0-20:30,15:0-20:30,15:0-20:30,15:0-20:30,15:0-20:30,15:0-20:30,
rZw9O5lJ36m_mXeRKE4G9A,La Sponda,20 e lancaster ave,downingtown,19335,40.0062075104,-75.7044510304,4.5,29,"{'garage': False, 'street': True, 'validated': False, 'lot': True, 'valet': False}",,False,False,u'quiet',"{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': False}",True,u'free',casual,None,False,u'none',1.0,True,True,True,"{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'brunch': False, 'breakfast': False}",True,True,True,False,,,,,,,,False,False,,,,"{u'monday': False, u'tuesday': False, u'wednesday': False, u'thursday': False, u'friday': False, u'saturday': False, u'sunday': False}",True,True,u'average',True,u'free',u'casual',True,True,u'full_bar',2,,,,,,,,,,,,,,,,,,,False,,True,False,False,False,,,True,,False,False,False,False,False,False,False,False,False,11:30-21:0,11:30-21:0,11:30-21:0,11:30-22:0,11:30-22:0,11:30-21:0,
0sr1EyOc6Td1C-962QW88w,La Cucina Italian Eatery,1642 butler pike,conshohocken,19428,40.088398,-75.2926963,4.0,44,"{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}",,False,,u'average',"{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}",False,u'no',u'casual',False,,u'none',1.0,True,True,True,"{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'brunch': False, 'breakfast': False}",True,,True,,,,,,,,,,,,True,True,,False,,u'average',True,u'free',casual,True,True,u'none',2,True,True,True,True,True,True,,,,,,,,,,,,False,False,True,True,False,False,False,False,False,True,False,False,False,True,False,False,,False,,False,10:0-22:0,10:0-22:0,10:0-22:0,10:0-23:0,10:0-23:0,11:0-22:0,0:0-0:0
rF0xI_3jjlsEKp3N0Z0BuQ,Trattoria Totaro,639 spring mill ave,conshohocken,19428,40.0750524,-75.2945235,4.0,135,"{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}",,False,,u'average',"{'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': False, 'classy': False, 'trendy': False, 'upscale': False, 'casual': True}",True,,u'casual',True,,u'none',3.0,True,True,True,,True,,,,,,,,,,,,,,True,True,,True,False,average,True,u'no',u'casual',True,True,u'none',2,True,True,True,False,,True,False,,,,,,,,,,,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,,False,False,False,,17:0-21:0,17:0-21:0,17:0-21:0,17:0-21:0,17:0-21:0,17:0-21:0,17:0-21:0
LVteL0Rnh2E_yOFCLJUPhg,Double Decker Pizza - Media,415 e baltimore ave,media,19063,39.916169,-75.382347,4.0,88,None,,False,,u'average',"{'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': False, 'classy': False, 'trendy': False, 'upscale': False, 'casual': False}",False,u'free',u'casual',False,,u'none',2.0,False,True,True,,True,,False,,,,,,,,,,,,True,True,,False,,average,True,free,casual,False,True,beer_and_wine,1,True,True,True,True,True,True,,True,False,,,,,,,,,False,False,True,True,False,False,False,False,,True,False,False,False,False,False,False,False,False,False,False,11:0-21:0,11:0-21:0,11:0-21:0,11:0-21:0,11:0-21:0,11:0-21:0,
wUEbysNWCtMSQAio6Ktn6Q,Lucianis Pizzeria & GRILL,471 pinetown rd,fort washington,19034,40.138836,-75.1952339,3.0,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,,False,,u'average',False,,,False,,none,2,True,True,,True,,True,,,,,,,,,,,,,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,10:0-22:0,10:0-22:0,10:0-22:0,10:0-23:0,11:0-23:0,11:0-22:0,10:0-22:0
joeRm-_7T0XTkMdKo2nbaA,Paola's Pizzeria,128 n wayne ave,wayne,19087,40.0451819,-75.388188,4.5,126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,False,,False,,u'average',True,no,u'casual',True,False,u'none',1,True,True,True,True,True,True,,False,True,,,,,,,,,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,11:0-20:0,11:0-20:0,11:0-20:0,11:0-21:0,11:0-21:0,11:0-20:0,
isbeaPln-E0DdffLRsuFhw,Francisco's On The River,1251 river rd,washington crossing,18977,40.3136566,-74.8957796,4.0,109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,,True,,u'average',True,u'free',u'casual',True,,u'none',3,False,True,True,False,,True,False,,,,,,,,,,,False,False,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,17:0-21:0,17:0-21:0,17:0-21:0,17:0-22:0,17:0-22:0,16:0-21:0,
QkyEr9j7il9lJqseTbPe5w,Spasso Italian Grill,1 w state st,media,19063,39.9182380676,-75.3896167572,3.5,192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,,True,,u'average',True,u'no',u'casual',True,,u'full_bar',2,True,True,True,True,,True,,,,False,,,,,,,,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,11:30-22:0,11:30-22:0,11:30-22:0,11:30-23:0,15:0-23:0,10:0-21:0,11:30-22:0
-JStjL-8mRZq4ov4uI1FaQ,Luberto's Brickoven Pizza,169 n main st,dublin,18917,40.3753297,-75.208113,4.0,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,,False,,u'average',True,u'no',u'casual',False,True,u'none',2,True,True,True,False,True,False,,False,True,,,,,,,,,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,11:0-21:0,11:0-21:0,11:0-21:0,11:0-22:0,11:0-22:0,12:0-21:0,0:0-0:0
