@id,name,longitude,latitude,addr:city,ZIP_CODE,building,opening_hours,phone,website,county
relation/6176471,Monte Cello's,-80.0523498,40.6064814,,15090,,,,,Allegheny County
relation/14702526,Villa Ballanca,-79.7357004,40.5903043,Lower Burrell,15068,commercial,We-Sa 11:00-21:00; Su 11:00-20:00,+1 724 339 6111,https://villaballanca.com,Allegheny County
way/43000780,Sal's Brick Oven Pizza,-75.3782697,40.6115597,Bethlehem,18015,yes,Mo-Th 11:00-22:00; Fr-Sa 11:00-23:00; Su 12:00-22:00,+1 610 317 0400,https://www.salsbrickovenpizzamenu.com/,Northampton County
way/44871151,Cafe Classico,-75.6505935,41.4034765,,18510,yes,,,,Lackawanna County
way/44873379,Sambucca Grille,-75.6651849,41.4102002,Scranton,18503,yes,,,,Lackawanna County
way/53637204,Carrabba's Italian Grill,-75.5229068,40.5807228,,18104,yes,,,,Lehigh County
way/55634786,Olive Garden,-74.8809801,40.1777936,Langhorne,19047,yes,,,,Bucks County
way/60921704,Buca di Beppo,-75.985659,40.3593283,Wyomissing,19610,yes,"Mo-We,Su 11:00-21:30; Th 11:00-22:00; Fr-Sa 11:00-23:00",+1 610-374-3482,https://locations.bucadibeppo.com/us/pa/wyomissing/2745-paper-mill-rd,Berks County
way/60945102,Olive Garden,-75.9669587,40.3469662,Wyomissing,19610,yes,"Mo-Th,Su 11:00-22:00; Fr-Sa 11:00-23:00",+1 610-373-1311,https://m.olivegarden.com/locations/pa/wyomissing/wyomissing/1525,Berks County
way/61756575,Olive Garden,-76.8025898,40.3110936,,17109,yes,,,,Dauphin County
way/63514361,Carrabba's Italian Grill,-75.1253943,40.1616458,Willow Grove,19090,yes,"Mo-Th 11:00-22:00; Fr,Sa 11:00-23:00; Su 11:00-21:30",+1 215 659 3950,https://www.carrabbas.com/locations/pa/willow-grove,Montgomery County
way/94395437,The Olive Garden,-75.4760878,40.6355358,,18052,yes,,,,Lehigh County
way/94395439,Buca di Beppo,-75.4759246,40.634501,,18052,yes,,,,Lehigh County
way/99712613,Gargano's,-76.3539293,40.099895,East Petersburg,17520,yes,,,,Lancaster County
way/116779935,Olive Garden,-75.8405887,41.2430917,Wilkes-Barre Township,18702,yes,,,,Luzerne County
way/133801462,Maggiano's Little Italy,-75.3959733,40.0871242,King of Prussia,19406,yes,"Mo,Su 11:00-21:00; Tu-Th 11:00-22:00; Fr-Sa 11:00-23:00",+1 610-992-3333,https://www.maggianos.com/locations/Pennsylvania/King%20of%20Prussia/205-mall-blvd.,Montgomery County
way/141995710,Olive Garden,-76.764598,39.9736294,,17404,yes,,,https://www.olivegarden.com/,York County
way/152422569,Fiorelloâ€™s Cafe,-75.5926137,39.9657681,West Chester,19380,yes,"Mo-Th 11:00-21:00; Fr,Sa 11:00-22:00; Su 12:00-21:00",+1 610-430-8941,https://www.fiorelloscafemenu.com/,Chester County
way/156862101,Olive Garden,-79.4992563,40.3030154,,15601,yes,,,,Westmoreland County
way/160772468,Olive Garden,-76.3447191,40.066798,Lancaster,17601,yes,,+1 (717) 299-2202,,Lancaster County
way/163400669,Buca di Beppo,-80.1607417,40.4553468,,15244,yes,,,,Allegheny County
way/163788988,,-80.1684163,40.4565912,,15244,yes,,,,Allegheny County
way/165336030,Mendicino's Pizza,-75.5164288,41.3093329,,18444,yes,,,,Lackawanna County
way/180562797,Kay's Italian Restaurant and Pizzeria,-75.5135845,41.3083833,,18444,yes,,,,Lackawanna County
way/185718506,Anile's Ristorante,-77.1297417,40.1508487,,17007,,,,,Cumberland County
way/193228511,Olive Garden,-76.1932936,40.0221001,,17602,yes,"Mo-Th,Su 11:00-22:00; Fr-Sa 11:00-23:00",,,Lancaster County
way/200250680,Amatoâ€™s Wood Fire Pizza & Italian Restaurant,-76.5238477,40.115369,Mount Joy,17552,yes,"Mo,We-Su 11:00-22:00; Tu off",+1 717-653-6181,https://amatoswoodfirepizza.com/,Lancaster County
way/200349271,Babbos Pizza,-76.6118575,40.1581096,,17022,yes,,717-492-4360,,Lancaster County
way/203411105,Common Plea Restaurant,-79.9964466,40.4372397,Pittsburgh,15219,yes,"Tu-Fr 11:30-14:30, 17:00-21:00; Sa 17:00-21:00",,commonplea-restaurant.com,Allegheny County
way/207671661,Carrabba's Italian Grill,-75.549185,39.8832938,,19014,yes,Mo-Th 16:00-22:00; Fr-Sa 11:00-23:00; Su 11:00-21:30,+1 610-358-0156,https://locations.carrabbas.com/pennsylvania/west-chester/102-painters-crossing-painters-crossing-shopping-mall,Delaware County
way/209290413,Olive Garden,-79.7869033,40.4340749,,15146,retail,,,,Allegheny County
way/224762207,Faccia Luna,-77.8473917,40.7848025,State College,16801,yes,,+1-814-234-9000,http://www.faccialuna.com/state-college,Centre County
way/227502452,Olive Garden,-79.7986236,40.5700918,,15049,yes,,,,Allegheny County
way/228796795,Bella Frutetto,-80.0912995,40.6139041,,15015,retail,,,,Allegheny County
way/239066554,Olive Garden,-77.8991431,40.8171177,State College,16803,retail,,+1-814-861-1620,https://www.olivegarden.com/locations/pa/state-college/state-college/1552,Centre County
way/251276905,Alioto's Italian Eatery and Sports Bar,-79.9488804,40.5036947,Etna,15223,yes,,+1-412-781-1390,https://www.aliotos.biz/,Allegheny County
way/256038255,Caruso's Italiant Restaurant and Pizzeria,-76.2508757,40.151259,Rothsville,17543,yes,,,,Lancaster County
node/259498354,,-75.5002683,40.696987,,18067,,,,,Lehigh County
node/259499262,Assante,-75.4994807,40.6904677,,18037,,,,,Northampton County
node/259500711,Mario's Pizzeria,-75.487016,40.6768891,,18032,,,,,Lehigh County
node/259618819,Feasta Pizza,-75.3398291,40.5640455,,18055,,,,,Northampton County
way/260657298,Margarita's Pizzeria and Italian Cuisine,-77.8619705,40.791991,State College,16801,yes,Mo-Fr 09:00-21:00,+1-814-235-3060,,Centre County
way/260697082,Alice's Diner & Family Restaurant,-76.2665359,40.0379028,,17602,yes,07:00-14:00,,,Lancaster County
way/260697090,Two Cousins Pizza,-76.2694381,40.0380186,Lancaster,17602,yes,"Mo,We-Th,Su 11:00-21:00; Tu off; Fr-Sa 11:00-22:00",,https://www.twocousinspizzaoflancaster.com,Lancaster County
way/260697100,Pasqueles,-76.2665974,40.0394834,Lancaster,17601,yes,"Mo,Su off; Tu-Th 10:30-21:00; Fr-Sa 10:30-22:00",+1 717-509-9921,https://pasqualespizzapa.com,Lancaster County
way/273389728,Mercato Mio,-77.8351962,40.8090784,State College,16801,yes,,,,Centre County
way/286299001,Olive Garden,-75.1170659,40.1409996,,19090,commercial,,,,Montgomery County
way/305731028,Pasta Too,-80.0227397,40.3307318,Bethel Park,15102,yes,,,,Allegheny County
way/306428653,Olive Garden,-80.050226,40.3479459,,15102,yes,,,,Allegheny County
way/323166964,Yolanda's,-80.2714488,40.6876232,,15061,yes,,,,Beaver County
way/337628444,Luigi's Ristorante,-79.0119171,40.6678148,Clymer,15728,commercial,"Tu-Th 11:00-21:00, Fr-Sa 11:00-22:00, Su 12:00-20:00",,,Indiana County
way/338203105,Hill's Restruant,-79.9407988,40.2071967,,15067,retail,,+1 724 258 5422,,Washington County
way/338681056,Paganini,-75.1325431,40.3091309,Doylestown,18901,yes,,,,Bucks County
way/338681061,Domani Star,-75.1320261,40.3094089,Doylestown,18901,yes,,,,Bucks County
way/339552139,Sarina's,-78.2332021,40.9037368,Philipsburg,16866,yes,,,,Centre County
way/339654250,Mimmo's,-75.9266846,40.3201175,,19611,yes,,,,Berks County
way/343935568,Bravo's Italian Kitchen,-80.009262,40.5313238,,15237,retail,,,https://www.bravoitalian.com/,Allegheny County
way/344455984,Olive Garden,-80.019411,40.5532662,,15237,retail,,,,Allegheny County
way/346603093,Rocco's Pizzeria,-75.3416442,40.5853637,,18055,yes,,,,Northampton County
way/346981770,Terry's Italian Restaurant,-75.1838725,40.677827,Easton,18042,yes,,,,Warren County
way/346984022,Crivellaro's Ristorante,-75.2149442,40.6536217,,18042,yes,,,,Northampton County
way/348439180,Olive Garden,-75.253367,40.6851471,,18045,yes,,,,Northampton County
way/348782152,Steve's Pizzeria and Italian Family Restaurant,-75.2571516,40.669947,,18045,yes,,,,Northampton County
way/348799023,Carrabba's Italian Grill,-75.2608676,40.6948366,,18045,yes,,,,Northampton County
way/349727967,La Felice Pizza & Pasta,-80.0184619,40.5335054,Pittsburgh,15237,yes,Mo-Th 10:00-23:00; Fr-Sa 10:00-24:00; Su 11:00-23:00,+1 412 358 9770,http://pizzalafelice.com,Allegheny County
way/350451680,Bruno Scipioni's Italian Ristorante & Pizzeria,-75.3196281,40.6639749,,18020,yes,,,,Northampton County
way/351529399,Pastorante,-76.8879003,40.2677534,Harrisburg,17102,yes,,,http://pastorantepa.com/,Dauphin County
way/351849045,Antica Italian Restaurant & BYOB,-75.5909022,39.8723753,,19173,yes,"Mo off; Tu-Th,Su 11:30-21:00; Fr-Sa 11:30-22:00",,,Chester County
way/354171297,Burnham OIP,-77.5664976,40.6286494,,17009,yes,,,,Mifflin County
way/354205043,Tommy's Sole Mio Italian Restaurant,-75.2108353,40.6831883,,18042,yes,,,,Northampton County
way/356331600,Dafno's Restaurant,-76.6822377,40.2689301,Hummelstown,17036,industrial,Mo-Sa 11:00-21:00; Su off,+1 717-533-8999,http://dafnos.com,Dauphin County
way/356331603,Piazza Sorrento Restaurant & Bar,-76.6712778,40.2692692,Hershey,17033,yes,Mo-Sa 16:00-21:00; Su off,+1 717-835-1919,https://www.piazzasorrento.com/,Dauphin County
way/360964993,Alvaro's Bread and Pastry Shoppe,-76.8962212,40.2771855,,17102,yes,,,,Dauphin County
way/366325826,Caruso's Italian Restaurant,-76.3051113,40.1008611,,17601,yes,,+1 717 569 7989,,Lancaster County
way/366662297,Trattoria Totaro,-75.2945094,40.0750254,Conshohocken,19428,yes,,,,Montgomery County
way/368071351,Olive Garden,-75.225565,40.20994,North Wales,19454,yes,,,,Montgomery County
way/372329029,Monte Cello's,-79.9933452,40.5111023,,15237,retail,,,,Allegheny County
way/372351542,,-75.1308339,40.3105977,Doylestown,18901,yes,,,http://www.cafealessiodoylestown.com/,Bucks County
way/373919347,Brother's Pizza,-77.6878403,40.8478578,Centre Hall,16828,yes,,,,Centre County
way/385685898,Olive Garden,-79.9457033,40.3329856,,15025,retail,,,,Allegheny County
way/387587941,Pugliano's,-79.713523,40.4474991,,15239,retail,,,,Westmoreland County
way/397178210,Pica's Restaurant,-75.2752581,39.9652774,Upper Darby,19082,yes,,,,Montgomery County
way/398637744,Hofbrau Pizza,-77.7769516,40.9106916,Bellefonte,16823,yes,16:00-22:00,,,Centre County
way/411855211,,-75.9919459,40.9654117,,18201,yes,,,,Luzerne County
way/414010596,Amadeo's Italian Restaurant and Catering,-75.7109825,41.3690701,,18507,yes,,,,Lackawanna County
way/414308846,Olive Garden,-75.2331945,40.9878652,Stroudsburg,18360,yes,,,,Monroe County
way/418969330,Woody's Little Italy,-79.8299052,40.3144584,,15132,yes,,,,Allegheny County
node/419477005,Olive Garden,-77.0272173,40.2467869,Mechanicsburg,17050,,,,,Cumberland County
way/420021931,Nana's Pasta House,-75.7150628,41.3517904,Moosic,18507,yes,,,,Lackawanna County
way/420919460,Olive Garden,-76.9994654,39.8288198,,17344,yes,,,,Adams County
way/421328625,Luigi's,-80.0568847,40.4959006,Bellevue,15202,retail,Mo-Th 11:00-22:00; Fr-Sa 11:00-23:00; Su 12:00-22:00,+1 412 734 0980,http://luigis-pizzeria-restaurant.com,Allegheny County
way/430457722,Bella Sera,-80.1533572,40.280936,Canonsburg,15317,yes,,,,Washington County
way/431256386,Mambo Italia,-80.1806803,40.5396846,,15143,retail,,,,Allegheny County
way/451962851,Castellanos Family Restaurant,-75.3594258,41.1267134,Mount Pocono,18344,yes,,570-972-2333,http://castellanosfamilyrestaurant.com/,Monroe County
way/461776334,Brio,-77.5778746,39.7553748,Waynesboro,17268,yes,Mo-Fr 06:00-16:00; Sa 07:30-16:00; Su 08:00-16:00,717-889-0412,https://www.briocoffeehouse.com/,Franklin County
way/468483225,Bella Rosa Italian Eatery,-75.7420839,39.9522338,West Bradford Township,19320,yes,"Mo-Th 10:00-21:30; Fr,Sa 10:00-22:30; Su 11:00-21:30",,http://bellarosapizzapasta.com/index.html,Chester County
way/472702713,Nino's Pizza,-78.2371936,40.6726224,,16686,yes,,,,Blair County
way/472820708,Gabriella Italian Restaurant,-76.8301771,40.2926304,,17109,yes,,,,Dauphin County
way/474685194,Olive Garden,-78.40052,40.483537,Altoona,16602,yes,,,,Blair County
way/478647573,Venice Pizzeria,-79.9848333,40.366103,,15227,yes,,,,Allegheny County
way/481688981,Olive Garden,-80.0456546,40.4198494,,15220,yes,,,,Allegheny County
way/482047953,Ciccanti Ristorante,-79.9385747,40.3122317,Jefferson Hills,15025,yes,Mo off; Tu-Fr 12:00-20:00; Sa 15:00-20:00; Su 14:00-20:00,+1 412 384 7868,https://www.ciccantis.com,Allegheny County
way/482422081,Mama Randazzo's,-78.3979671,40.5380211,,16601,yes,,,,Blair County
way/482968800,Villaggio,-75.031999,40.3459666,Lahaska,18931,yes,,,,Bucks County
way/483505938,Pie's On Italian Restaurant,-74.9236002,41.2761757,Dingmans Ferry,18328,yes,,,,Pike County
way/504486226,Bravo,-79.9170807,40.4068827,,15120,commercial,,,,Allegheny County
way/505422992,Tillie's,-79.8398567,40.3279824,McKeesport,15132,commercial,Mo-Sa 12:00-20:00; Su 12:00-19:00,+1 412 672 7557,http://www.tillies.com/,Allegheny County
way/507426755,Segneri's Italian Restaurant,-80.1638736,40.5185858,Coraopolis,15108,yes,,,http://segneris.com,Allegheny County
way/508031082,Luciano's Pizza,-80.007081,40.567594,,15237,retail,,,,Allegheny County
way/510273897,Bettina's Italian Restaurant,-79.1213903,41.4710788,Marienville,16239,commercial,"Tu-Th 10:30-20:00, Fr-Sa 10:30-21:00, Su 11:30-04:00",814-927-7888,https://www.facebook.com/Bettinas-Italian-Restaurant-141551502575836,Forest County
way/517476200,Olive Garden,-75.6371994,41.4700565,,18519,retail,,,,Lackawanna County
way/519069502,Anna's,-79.5847546,40.6017879,,15690,yes,,,,Westmoreland County
way/519461574,Bertucci's Italian Restaurant,-75.2421685,40.2370577,North Wales,19454,yes,"Mo-Th 11:00-22:00; Fr,Sa 11:00-23:00; Su 11:00-22:00",+1-267-498-5538,https://www.bertuccis.com/locations/montgomeryville,Montgomery County
way/524513310,Villa Sena Restaurant,-76.4480034,41.7459267,Towanda,18848,yes,,570-265-9986,,Bradford County
way/525070528,Baci Ristorante,-75.0619985,40.3247596,Buckingham,18912,yes,,,,Bucks County
way/527174458,Piero's Italian Restaurant,-75.0715489,40.1577989,Huntingdon Valley,19006,yes,,,,Montgomery County
node/532135890,Donato's Fox Chapel,-79.8826677,40.4882975,Pittsburgh,15238,,,,,Allegheny County
way/533501161,Lenzi's Italian Restaurant,-79.9204335,40.1983496,,15063,yes,,,,Washington County
way/535064181,DiAnoia's Eatery,-79.9787822,40.4549331,Pittsburgh,15222,yes,"Tu-Th 08:00-21:00; Fr,Sa 08:00-22:00; Su 10:00-14:30",412-918-1875,https://www.dianoiaseatery.com/,Allegheny County
node/536209352,,-76.5478803,40.8617525,,17824,,,,,Northumberland County
way/539271214,Roberto's Pizza,-76.9187566,40.2402607,Camp Hill,17011,yes,Mo-Th 10:00-21:15; Fr 10:00-22:15; Sa 10:00-23:15; Su 11:00-21:15,+1 717-737-7195,https://www.robertospizzapa.com,Cumberland County
way/541467881,Luigi's,-75.0907074,40.2480469,Jamison,18929,yes,,,,Bucks County
way/543016672,Olive Garden,-80.1615379,40.4503613,,15244,commercial,,,,Allegheny County
way/543623626,Cafe Alessio's,-75.1362575,40.2368677,,18901,yes,,,,Montgomery County
way/554091194,La Sponda,-75.7043915,40.006162,,19335,yes,"Mo-Th,Su 11:30-21:00; Fr-Sa 11:30-22:00",4845934488,https://www.lasponda.com/,Chester County
way/554091203,Amani's BYOB,-75.7029464,40.0069142,Downingtown,19335,yes,16:00-21:00,+1 484-237-8179,https://amanisbyob.com/,Chester County
way/554302607,Anthony's Cucina Fresca,-75.7078421,40.0038458,Downingtown,19335,yes,Mo-Th 10:30-21:30; Fr-Sa 10:30-22:30; Su 11:30-21:00,+1 610-873-5544,https://anthonyscucinafresca.com/,Chester County
way/555549879,Olive Garden,-75.6729568,40.0171003,Downingtown,19335,yes,Su-Th 11:00-22:00; Fr-Sa 11:00-23:00,+1-610-518-6323,https://www.olivegarden.com/locations/pa/downingtown/downingtown-quarry-crossings/1857,Chester County
way/562950511,Olive Garden,-79.7428565,39.9082274,,15401,yes,,,,Fayette County
way/564869617,Villa Grande,-79.9227609,40.8672087,Butler,16001,yes,,724-282-7888,www.villagrandeonline.com,Butler County
way/571733110,Vincenzo's,-75.7367532,40.3016882,Douglassville,19518,yes,"Mo-Th 10:00-22:00, Fr-Sa 10:00-23:00, Su 11:00-21:00",,,Berks County
way/574764851,Santino's Italian Cuisine,-77.2539272,41.2023797,Jersey Shore,17740,yes,,,,Lycoming County
way/585284319,Toscana 52,-74.979687,40.1354254,Feasterville-Trevose,19053,yes,Mo-Th 11:00-21:00; Fr 11:00-22:00; Sa 12:00-22:00; Su 12:00-21:00,+1-215-942-7770;+1-215-942-7783,https://toscana52.com/,Bucks County
way/586146670,A Mano Eatery,-79.5183378,40.8117067,,16201,yes,,,https://www.amanoeatery.com/,Armstrong County
way/603041704,Marcello's Oizza,-76.64886,39.9819513,,17402,yes,,,,York County
way/615986844,Sweet Basil,-79.4274257,41.2401021,,16254,yes,,,,Clarion County
node/616557005,Villa Rosa,-74.871801,40.2214636,,19067,,,,,Bucks County
way/628667128,Arugula,-75.2734925,40.10854,,19462,yes,,,,Montgomery County
way/637849194,Olive Garden,-80.0839383,40.6848545,Cranberry,16066,yes,,,,Butler County
way/641339374,Gianilli's 2,-79.4688805,40.2931971,,15601,yes,,,,Westmoreland County
way/641693294,Olive Garden,-75.0319846,40.0785487,Philadelphia,19114,yes,,,,Montgomery County
way/641918205,Salvatore's Pizzeria,-75.5522644,40.5138735,,18062,yes,,,,Lehigh County
way/645536131,Pane e Pronto,-79.9779677,40.4555512,Pittsburgh,15222,yes,Tu-Sa 08:00-18:00,+14128153300,https://www.paneepronto.com/,Allegheny County
way/650884393,Riviera D'Italia,-75.1326801,40.1246194,,19001,yes,,,,Montgomery County
way/653662738,Forcella,-75.1255512,40.0955623,Jenkintown,19046,yes,"Tu-Th 17:00-22:00, Fr-Sa 17:00-23:00",+1-267-400-6155,http://forcellabyob.com/,Montgomery County
way/654762291,Olive Garden,-77.6277114,39.9392141,,17201,yes,,,,Franklin County
way/658000819,Pat's Pizza & Bistro,-75.4028829,40.6230681,Bethlehem,18018,commercial,,+1 610 419 8100,https://www.patsbistro.com/,Lehigh County
way/664587396,Carrabba's Italian Grill,-76.9795757,40.2381313,Mechanicsburg,17050,yes,Mo-Th 11:00-22:00;Fr 11:00-22:30;Sa-Su 11:00-21:00,+1 717 795 9200,https://www.carrabbas.com/locations/pa/mechanicsburg,Cumberland County
way/667796660,Enzo's Italian Eatery,-75.5637326,39.9007404,West Chester,19014,yes,Mo-Th 11:00-21:30; Fr-Sa 11:00-22:30; Su 12:00-20:30,+1 610-947-5540,https://www.enzositalianeatery.com/,Chester County
way/670642594,Pizza Mia,-75.7632488,40.0327805,,19335,yes,Mo-Th 10:30-21:30; Fr-Sa 10:30-22:00; Su 11:00-21:00,+1 610-269-1000,,Chester County
way/680929143,Little Vince's Pizza,-77.5840589,39.966631,,17201,yes,,,,Franklin County
way/681014443,Michaelangelo's Cafe,-75.0159131,40.1213721,,19116,yes,,,,Bucks County
way/684447206,Affamatoâ€™s Pizza,-75.4013367,40.1313239,,19403,yes,,,,Montgomery County
way/700194781,That's Amore,-76.4584415,41.0025662,Bloomsburg,17815,yes,,(570) 387-1975,,Columbia County
way/701412559,Mangia! Italian Restaurant & Pizzeria,-75.9783278,40.2901416,,19607,yes,"Mo,We-Th 11:00-21:00; Tu off; Fr-Sa 11:00-22:00; Su 09:00-20:00",+1-610-777-6626,,Berks County
way/701988756,Mannino's Pizzeria & Restaurant 2,-75.5986827,40.2450644,Pottstown,19464-3215,yes,Mo-Th 10:30-21:00; Fr-Sa 10:30-22:00; Su 11:00-19:30,+1 610-970-0700,,Montgomery County
way/711021181,PizzaVille,-75.3692233,40.7786385,,18064,yes,,,,Northampton County
way/723913080,Meglio,-74.9376194,40.2328296,,18940,yes,,,,Bucks County
way/728803353,King's,-76.2340734,41.0543208,,18603,yes,,,,Columbia County
way/728803367,Bob's Subs & Pizza,-76.2359145,41.0542719,,18603,yes,,,,Columbia County
way/729079530,Jimmy's Lakeside Pizza,-74.9435146,41.320002,Milford,,yes,,+1 570-409-3377,,Pike County
way/730421103,Bacio's Italian Cuicina,-75.2140918,40.0922493,Springfield Township,19038,yes,,+1-215-248-2740,,Montgomery County
way/761509761,Giannotti's Ristorante,-75.8014463,40.4992749,,19536,yes,,+1 610 894 9694,http://www.giannottisristorante.com/,Berks County
way/769964151,Vinny V's Pizza,-75.205811,40.6998015,Easton,18042,yes,Mo 11:00-20:00; Tu off; We-Th 11:00-20:00; Fr-Sa 11:00-21:00; Su 12:00-19:45,+1 610-253-5533,https://vinnyvspizza.com,Warren County
node/821207194,DePaul's Table,-75.2908039,40.0080061,Ardmore,19003,,"Mo-Th,Su 17:00-21:00; Fr-Sa 17:00-22:00",+1 610-589-0500,https://www.depaulstable.com/,Montgomery County
way/829452192,Avanti's,-80.1218584,42.1137559,Erie,16505,yes,,,,Erie County
node/831649245,Mama Nina's Foccacheria,-75.3818469,40.6216019,,18108,,,,,Northampton County
way/837382087,John's Italian Restaurant,-75.3117213,41.3440515,Greentown,18426,yes,,,,Monroe County
way/839084257,Olive Garden,-80.0927672,42.0640508,Erie,16509,yes,,,https://www.olivegarden.com/,Erie County
way/839964056,Panache,-75.2667273,40.1523832,Blue Bell,19422,yes,,,https://panachewoodfiregrill.com/,Montgomery County
way/846399636,Giacomo's Italian Market and Grille,-75.2082344,40.7041322,Easton,18042,yes,Mo-Sa 09:00-15:00; Su off,+1 610-438-1945,,Northampton County
way/851668074,Casa Mia,-75.438275,39.9131341,Media,19063,yes,Mo off; Tu-Th 16:00-21:30; Fr-Sa 16:00-22:30; Su 16:00-21:00,+1 610-891-9090,https://casamiamedia.com,Delaware County
way/870501958,Anthony's Trattoria,-75.874335,40.3392183,Reading,19606,yes,"Tu-Th,Su 12:00-21:00; Fr,Sa 12:00-22:00; Mo off",,,Berks County
