name,address,city,postal_code,geometry
Olive Garden,Lincoln Highway,Langhorne,19047,POINT (-74.8809801 40.1777936)
Carrabba's Italian Grill,Maryland Road,Willow Grove,19090,POINT (-75.1253943 40.1616458)
Maggiano's Little Italy,Mall Boulevard,King of Prussia,19406,POINT (-75.3959733 40.0871242)
Fiorello’s Cafe,East Gay Street,West Chester,19380,POINT (-75.5926137 39.9657681)
Carrabba's Italian Grill,Painters Crossing,,,POINT (-75.549185 39.8832938)
Olive Garden,,,,POINT (-75.1170659 40.1409996)
Paganini,West State Street,Doylestown,18901,POINT (-75.1325431 40.3091309)
Domani Star,West State Street,Doylestown,18901,POINT (-75.1320261 40.3094089)
,North Main Street,Doylestown,18901,POINT (-75.1308339 40.3105977)
Antica Italian Restaurant & BYOB,Baltimore Pike,,,POINT (-75.5909022 39.8723753)
Trattoria Totaro,Spring Mill Avenue,Conshohocken,19428,POINT (-75.2945094 40.0750254)
Olive Garden,Bethlehem Pike,North Wales,19454,POINT (-75.225565 40.20994)
Pica's Restaurant,West Chester Pike,Upper Darby,,POINT (-75.2752581 39.9652774)
Bella Rosa Italian Eatery,West Strasburg Road,West Bradford Township,19320,POINT (-75.7420839 39.9522338)
Villaggio,Lower York Road,Lahaska,18931,POINT (-75.031999 40.3459666)
Bertucci's Italian Restaurant,Bethlehem Pike,North Wales,19454,POINT (-75.2421685 40.2370577)
Baci Ristorante,Bogarts Tavern Road,Buckingham,18912,POINT (-75.0619985 40.3247596)
Piero's Italian Restaurant,Reading Way,Huntingdon Valley,19006,POINT (-75.0715489 40.1577989)
Luigi's,York Road,Jamison,18929,POINT (-75.0907074 40.2480469)
Cafe Alessio's,,,,POINT (-75.1362575 40.2368677)
La Sponda,East Lancaster Avenue,,,POINT (-75.7043915 40.006162)
Amani's BYOB,East Lancaster Avenue,Downingtown,19335,POINT (-75.7029464 40.0069142)
Anthony's Cucina Fresca,West Lancaster Avenue,Downingtown,19335,POINT (-75.7078421 40.0038458)
Olive Garden,Quarry Road,Downingtown,19335,POINT (-75.6729568 40.0171003)
Toscana 52,Street Road,Feasterville-Trevose,19053,POINT (-74.979687 40.1354254)
Villa Rosa,,,,POINT (-74.871801 40.2214636)
Arugula,,,,POINT (-75.2734925 40.10854)
Olive Garden,Roosevelt Boulevard,Philadelphia,19114,POINT (-75.0319846 40.0785487)
Riviera D'Italia,,,,POINT (-75.1326801 40.1246194)
Forcella,Old York Road,Jenkintown,19046,POINT (-75.1255512 40.0955623)
Enzo's Italian Eatery,Wilmington Pike,West Chester,,POINT (-75.5637326 39.9007404)
Pizza Mia,Horseshoe Pike,,,POINT (-75.7632488 40.0327805)
Michaelangelo's Cafe,,,,POINT (-75.0159131 40.1213721)
Affamato’s Pizza,,,,POINT (-75.4013367 40.1313239)
Mannino's Pizzeria & Restaurant 2,East High Street,Pottstown,19464-3215,POINT (-75.5986827 40.2450644)
Meglio,,,,POINT (-74.9376194 40.2328296)
Bacio's Italian Cuicina,Bethlehem Pike,Springfield Township,19038,POINT (-75.2140918 40.0922493)
DePaul's Table,East Lancaster Avenue,Ardmore,,POINT (-75.2908039 40.0080061)
Panache,Skippack Pike,Blue Bell,19422,POINT (-75.2667273 40.1523832)
Casa Mia,Baltimore Pike,Media,19063,POINT (-75.438275 39.9131341)
Olive Garden,Town Center Drive,,,POINT (-75.4768357 40.1650276)
Amici Italian Market and Deli,South Broad Street,Lansdale,19446,POINT (-75.2890432 40.2351787)
Scoogi's Classic Italian,South Bethlehem Pike,Flourtown,19031,POINT (-75.2142298 40.1135426)
Teresa's Cafe and Next Door,North Wayne Avenue,Wayne,19087,POINT (-75.3879904 40.0450827)
Paola's Cucina,North Wayne Avenue,,,POINT (-75.3879775 40.0451717)
From the Boot,East Butler Avenue,Ambler,19002,POINT (-75.2209927 40.1547634)
Carrabba's Italian Grill,Tillman Drive,Bensalem,19020,POINT (-74.9589771 40.1153693)
Trattoria San Nicola,Manor Road,Paoli,19301,POINT (-75.4945786 40.0411905)
TD Alfredo's,,,,POINT (-75.5249795 40.1279278)
Maria's Ristorante on Summit,Ridge Avenue,Philadelphia,19128,POINT (-75.2363333 40.0567404)
Sorrento's,Ridge Pike,Lafayette Hill,19444,POINT (-75.2598852 40.0872302)
La Porta Ristorante,Middletown Road,Media,19063,POINT (-75.460135 39.9389816)
Frankie's Fellini Cafe,Lancaster Ave,Berwyn,,POINT (-75.4426996 40.047341)
Pepperoncini Sotto,,,,POINT (-75.5154493 40.1338272)
