ZIP_CODE,Health Insurance Coverage - Civilian noninstitutionalized population 19 to 64 years,Sex and Age - Total population - 18 years and over,Sex and Age - Total population - 18 years and over - Female,Sex and Age - Total population - 21 years and over,Employment Status - Females 16 years and over,Employment Status - Population 16 years and over,Sex and Age - Total population - 16 years and over,Health Insurance Coverage - Civilian noninstitutionalized population,Sex and Age - Total population - Female
15001,19493,26507.0,13601.0,25906.0,13844,27136,27136.0,31680,16538.0
15003,6963,9263.0,4780.0,8994.0,5023,9626,9626.0,11414,5864.0
15004,266,307.0,155.0,288.0,155,307,307.0,377,177.0
15005,5355,7888.0,3973.0,7588.0,4181,8192,8192.0,9138,4805.0
15006,225,278.0,149.0,278.0,149,278,278.0,309,149.0
15007,178,563.0,453.0,563.0,453,563,563.0,594,468.0
15009,8290,12281.0,6464.0,11775.0,6550,12604,12604.0,15594,8083.0
15010,15904,22687.0,11883.0,21370.0,12308,23555,23555.0,28478,14772.0
15012,8649,12483.0,6474.0,12147.0,6680,12857,12857.0,15275,7950.0
15014,2051,2605.0,1525.0,2553.0,1543,2642,2642.0,3064,1794.0
15015,602,943.0,494.0,922.0,559,1027,1027.0,1286,717.0
15017,9253,13063.0,7173.0,12823.0,7257,13375,13375.0,16211,8618.0
15018,674,916.0,354.0,874.0,354,916,916.0,1092,440.0
15019,851,1256.0,650.0,1225.0,650,1271,1271.0,1464,795.0
15020,319,376.0,266.0,376.0,266,376,376.0,376,266.0
15021,3810,5327.0,2757.0,5160.0,2823,5485,5485.0,6441,3309.0
15022,5900,8219.0,4194.0,7820.0,4326,8462,8462.0,10301,5174.0
15024,5226,7314.0,3517.0,6976.0,3605,7515,7515.0,8588,4349.0
15025,8894,12980.0,6794.0,12670.0,7026,13379,13379.0,16326,8680.0
15026,2494,2991.0,1499.0,2799.0,1499,3031,3031.0,3924,1959.0
15027,1257,1903.0,1074.0,1840.0,1101,1942,1942.0,2310,1293.0
15028,85,145.0,78.0,136.0,78,145,145.0,169,83.0
15030,702,825.0,456.0,787.0,456,828,828.0,1070,620.0
15031,343,424.0,220.0,375.0,220,424,424.0,492,236.0
15033,2772,3529.0,1922.0,3443.0,1968,3617,3617.0,4524,2489.0
15034,1006,1430.0,801.0,1330.0,801,1446,1446.0,1592,869.0
15035,1210,1781.0,914.0,1732.0,964,1838,1838.0,2047,1056.0
15037,6082,8439.0,4258.0,8139.0,4345,8629,8629.0,10197,5140.0
15038,165,253.0,132.0,253.0,150,271,271.0,326,205.0
15042,4006,6631.0,3704.0,6395.0,3767,6767,6767.0,8040,4324.0
15043,1300,1831.0,900.0,1747.0,920,1869,1869.0,2226,1046.0
15044,16022,22288.0,11021.0,21366.0,11348,23141,23141.0,28288,14126.0
15045,2807,3611.0,1928.0,3510.0,1989,3746,3746.0,4458,2250.0
15046,1513,2094.0,1072.0,2028.0,1105,2180,2180.0,2612,1278.0
15047,159,194.0,144.0,194.0,144,194,194.0,227,160.0
15049,586,842.0,453.0,820.0,455,848,848.0,915,498.0
15050,1467,1964.0,942.0,1899.0,973,2026,2026.0,2426,1204.0
15051,249,365.0,141.0,365.0,141,378,378.0,464,188.0
15052,1779,2378.0,1222.0,2271.0,1308,2478,2478.0,2994,1570.0
15053,57,75.0,41.0,75.0,41,75,75.0,75,41.0
15054,287,364.0,252.0,364.0,252,364,364.0,557,353.0
15055,601,1048.0,540.0,1048.0,540,1048,1048.0,1121,563.0
15056,587,857.0,416.0,827.0,418,883,883.0,1061,485.0
15057,10079,12789.0,6358.0,12384.0,6550,13272,13272.0,17622,8423.0
15059,2410,3182.0,1595.0,3100.0,1655,3373,3373.0,4326,2115.0
15060,462,728.0,330.0,693.0,337,768,768.0,912,404.0
15061,7184,9675.0,4971.0,9292.0,5142,9983,9983.0,12470,6500.0
15062,3929,5666.0,3155.0,5366.0,3239,5846,5846.0,6908,3734.0
15063,6471,9093.0,4504.0,8779.0,4671,9431,9431.0,10855,5341.0
15064,143,226.0,101.0,216.0,101,226,226.0,237,112.0
15065,6526,9226.0,4614.0,8875.0,4723,9468,9468.0,11171,5644.0
15066,7262,10082.0,5178.0,9902.0,5307,10317,10317.0,12287,6421.0
15067,1499,2079.0,1024.0,2052.0,1058,2119,2119.0,2522,1145.0
15068,21373,30005.0,15131.0,28459.0,15774,31094,31094.0,36797,18746.0
15071,7361,9433.0,5024.0,9142.0,5238,9786,9786.0,11773,6366.0
15072,39,39.0,39.0,39.0,39,39,39.0,39,39.0
15074,5107,6678.0,3481.0,6444.0,3550,6812,6812.0,8074,4131.0
15075,23,34.0,23.0,34.0,23,34,34.0,34,23.0
15076,479,713.0,347.0,684.0,347,713,713.0,807,432.0
15077,133,178.0,87.0,173.0,87,187,187.0,214,99.0
15078,173,489.0,323.0,479.0,323,489,489.0,563,338.0
15081,243,297.0,152.0,291.0,156,301,301.0,330,165.0
15082,76,123.0,86.0,123.0,86,123,123.0,196,159.0
15083,512,815.0,408.0,805.0,443,852,852.0,948,508.0
15084,5976,7888.0,4038.0,7690.0,4115,8134,8134.0,9878,5014.0
15085,4329,6445.0,3337.0,6184.0,3434,6604,6604.0,7889,4134.0
15086,344,480.0,205.0,480.0,205,496,496.0,559,253.0
15087,49,69.0,18.0,47.0,19,70,70.0,84,19.0
