,Feature,success_score,Factor 1,Factor 2,Factor 3,Factor 4,Factor 5,Coefficient
0,"Income and benefits - Total households - $200,000 or more",0.2601549140063526,0.5160800809216362,-0.5045899030563161,-0.3288489816795605,-0.1837714956375973,-0.5161955513850593,0.0005160368151849
1,"Income and benefits - Families - $200,000 or more",0.2397668046701112,0.4966835183792378,-0.4631271543780565,-0.3865125743630112,-0.2821531331496832,-0.491560960770581,-0.0002785156070185
2,"Income and benefits - Total households - $150,000 to $199,999",0.2206045496633786,0.7412805067637123,-0.5493339313256727,-0.1662909578140589,-0.1716215480884115,-0.1392103968782453,-0.000276513545425
3,"Income and benefits - Families - $150,000 to $199,999",0.2000753359492149,0.7021229655394366,-0.4758958061091293,-0.2637926167839736,-0.3399960439459929,-0.0763142097354251,0.0001901927945228
4,Commuting to Work - Workers 16 years and over - Worked from home,0.1677460113263043,0.764218897742304,-0.4238934921730061,-0.1537735639130261,0.0939988785803517,-0.3654389364727501,0.0002292342033732
5,"Industry - Civilian employed population 16 years and over - Finance and insurance, and real estate and rental and leasing",0.1617429628110088,0.8070502102961882,-0.4319784652514186,-0.1791038281109517,-0.0893719416345485,-0.204708724334004,1.1949363102558902e-05
6,"Occupation - Civilian employed population 16 years and over - Management, business, science, and arts occupations",0.1542428411429833,0.8429326757106534,-0.4234108692386976,-0.1412952902315845,0.092371915719384,-0.2726154184861968,-8.555014872676289e-05
7,CLass of worker - Civilian employed population 16 years and over - Unpaid family workers,0.1388893071088356,0.4615244475135682,-0.1620018401659659,0.1449225616524091,-0.0850655057672869,0.0018124693191442,1.546802368792248e-05
8,"Industry - Civilian employed population 16 years and over - Professional, scientific, and management, and administrative and waste management services",0.1238320447485811,0.8531050759197893,-0.3684979775425321,-0.1140847743279804,0.062330891630902,-0.2546404317255196,-8.097122311497265e-05
9,Industry - Civilian employed population 16 years and over - Information,0.1213625596538013,0.7459175090059036,-0.3531187874558754,-0.0328058996537045,0.1744681264516971,-0.2301115132114463,0.0006327702164162
10,"Income and benefits - Total households - $100,000 to $149,999",0.0873858487409476,0.9038446539365214,-0.3217951557849841,-0.0881397216345223,-0.121142930444872,0.0587522293755576,8.155333051131216e-05
11,Employment Status - Population 16 years and over - In labor force - Armed Forces,0.0663922315704506,0.2913695723107534,-0.1752381268916668,-0.1277090418612306,0.1058424388004225,0.1778030971410114,-7.722397157968857e-05
12,Industry - Civilian employed population 16 years and over - Manufacturing,0.0576758415440713,0.8081093645721171,-0.2419220170884815,-0.096737392595087,-0.3287848743575696,0.0698730072316752,-0.0002212601048233
13,"Income and benefits - Families - $100,000 to $149,999",0.0519170547789998,0.8473522364945677,-0.2511988538550764,-0.135643507855654,-0.366074921506317,0.1375006753563317,-0.0001988772908993
14,Commuting to Work - Workers 16 years and over - Walked,0.0512675353321691,0.3744486261267534,-0.104035689821894,0.1429112723331277,0.6299753008395477,-0.327277938083484,7.739890656584517e-05
15,Health Insurance Coverage - Civilian noninstitutionalized population 19 to 64 years - In labor force - Employed - With health insurance coverage - With private health insurance,0.0373989850861355,0.9632048499011202,-0.2553403061559893,-0.0647875487135872,0.0013317028010961,-0.0200780703600173,0.0003158807155065
16,Health Insurance Coverage - Civilian noninstitutionalized population - With health insurance coverage - With private health insurance,0.0329187455022962,0.9536263872685832,-0.206597308665571,-0.159766018241708,-0.097367029635401,-0.0614682818094327,-0.0001743786413064
17,Industry - Civilian employed population 16 years and over - Wholesale trade,0.0231226930874889,0.8020137280233336,-0.1827460972973282,0.0072487082240234,-0.2586455547296237,0.0402952160424568,-8.54803471231076e-05
18,ZIP Code,0.012027697851036,,,,,,2.977369737740993e-05
19,Health Insurance Coverage - Civilian noninstitutionalized population 19 to 64 years - Not in labor force - With health insurance coverage - With private health insurance,0.0113706409788229,0.7669256782915536,0.0263883587767793,-0.2619073307004593,0.0979539420294756,-0.1982467095372264,-2.9331044512874785e-05
20,"Commuting to Work - Workers 16 years and over - Car, truck, or van -- drove alone",-0.0011644019070419,0.8897001912631143,-0.1760289399463169,-0.1175872482623086,-0.3397589930875125,0.1589893465580609,6.855807938614661e-05
21,CLass of worker - Civilian employed population 16 years and over - Self-employed in own not incorporated business workers,-0.0034965658754427,0.8815731703518201,-0.1082207972041431,0.0309549325770864,-0.1404997441897756,-0.1886394075068926,-0.0002773994282479
22,Health Insurance Coverage - Civilian noninstitutionalized population 19 to 64 years - In labor force - Employed - With health insurance coverage,-0.0346458400560763,0.9902663281476386,-0.1259523958412496,-0.026827451629096,0.0351831485779806,0.005030183892118,-0.0010442144012025
23,Industry - Civilian employed population 16 years and over - Construction,-0.0351906366790206,0.7924468205021604,-0.0332199949039826,0.1146454959586329,-0.3836257541803503,0.2041403060881137,0.0008847770335189
24,CLass of worker - Civilian employed population 16 years and over - Private wage and salary workers,-0.0463493900029261,0.993504713196096,-0.0990103622443307,0.0166365498216754,-0.0100062063650293,-0.0120439520591942,6.880444546939141e-05
25,Commuting to Work - Workers 16 years and over - Other means,-0.0514459622554898,0.5465021334458968,0.0425283716328027,0.2363513218171564,0.5650133655840779,-0.2425948783400109,-6.837335772561214e-05
26,Commuting to Work - Workers 16 years and over,-0.052649071079464,0.995792731833307,-0.0901647810727135,0.008058842960691,-0.0017391588367595,-0.0015443184807258,0.000311228937912
27,"Income and benefits - Total households - $75,000 to $99,999",-0.0560510498661385,0.937751964525207,-0.0915819209935356,0.0618355289976217,0.038504674340436,0.1613481801722032,-9.136755636728453e-05
28,Employment Status - Population 16 years and over - In labor force - Civilian labor force - Employed,-0.0583270544895324,0.9965387653357828,-0.082297489716576,0.011730829856954,-1.5864066608780518e-11,2.018829587010136e-11,-0.0002925143490235
29,CLass of worker - Civilian employed population 16 years and over,-0.0583270544895324,0.9965387653357828,-0.082297489716576,0.011730829856954,-1.586406660878204e-11,2.0188295870088156e-11,-0.0002925143490234
30,Industry - Civilian employed population 16 years and over,-0.0583270544895324,0.9965387653357828,-0.082297489716576,0.011730829856954,-1.586406660878204e-11,2.0188295870088156e-11,-0.0002925143490233
31,Occupation - Civilian employed population 16 years and over,-0.0583270544895324,0.9965387653357828,-0.082297489716576,0.011730829856954,-1.586406660878204e-11,2.0188295870088156e-11,-0.0002925143490232
32,Income and benefits - Total households - With retirement income,-0.0628455841923954,0.9101453623018408,-0.0275892984300195,-0.1628509180928525,-0.1472727701895476,0.099674355114544,0.0001426621722623
33,Health Insurance Coverage - Civilian noninstitutionalized population 19 to 64 years - In labor force - Employed,-0.0687580680341285,0.996307414803558,-0.0651796953117202,0.0337569693700998,0.0293644315283452,0.0069919810621945,0.0006348322428277
34,Occupation - Civilian employed population 16 years and over - Sales and office occupations,-0.074112093989358,0.9726477073789912,-0.0150425783907169,-0.0104884478691385,-0.1289903670776714,0.1225872121986754,2.295790289686577e-05
35,"Industry - Civilian employed population 16 years and over - Other services, except public administration",-0.0786142028677059,0.9128450328787592,0.0139972341784829,0.1509643564021056,-0.0280446504570179,0.1006866524334021,0.0002176502254482
36,Income and benefits - Total households - With earnings,-0.0836225334727415,0.9916999791558048,-0.0239362880670234,0.0245076326053158,0.0873138083619662,-0.010364934401677,3.9679012242046824e-05
37,Employment Status - Population 16 years and over - In labor force,-0.0860192574017825,0.9984814842257864,-0.0381140658893111,0.0179952540418069,0.0211281689374816,0.0102962430779272,0.0001733549373337
38,Employment Status - Civilian labor force,-0.0863147695514532,0.9985174076528486,-0.0375909165619414,0.0184208474039832,0.0208103578486918,0.0097379510543124,0.0002505789089146
39,Employment Status - Population 16 years and over - In labor force - Civilian labor force,-0.0863147695514532,0.9985174076528486,-0.0375909165619414,0.0184208474039832,0.0208103578486918,0.0097379510543124,0.000250578908915
40,"Industry - Civilian employed population 16 years and over - Arts, entertainment, and recreation, and accommodation and food services",-0.0878317758637379,0.916756552248426,0.040934757566494,0.2317277515245891,0.0872374027971233,-0.0160287727261128,-2.021171292290291e-05
41,"Industry - Civilian employed population 16 years and over - Agriculture, forestry, fishing and hunting, and mining",-0.0922840409390708,0.1326951913295608,-0.0061654432546583,0.0384079574801619,-0.1934817828243103,-0.081916912618416,-0.0008832474723204
42,Employment Status - Females 16 years and over - In labor force - Civilian labor force - Employed,-0.0933183502575028,0.994251740254406,-0.0205162233662205,-0.0040717102591356,0.0741363225016798,0.0222902809188355,-0.0012788843100568
43,Health Insurance Coverage - Civilian noninstitutionalized population 19 to 64 years - In labor force,-0.0966442228658275,0.9967707228272012,-0.0217193127764704,0.0406373755847633,0.0493170259622872,0.0164707955636709,-0.0003246909659544
