Feature,Coefficient
Employment Status - Females 16 years and over - In labor force - Civilian labor force,0.009036165836607518
Health Insurance Coverage - Civilian noninstitutionalized population under 19 years - No health insurance coverage,0.002943523181682379
Health Insurance Coverage - Civilian noninstitutionalized population 19 to 64 years - In labor force - Unemployed - With health insurance coverage - With private health insurance,0.0027818375795981656
Health Insurance Coverage - Civilian noninstitutionalized population 19 to 64 years - In labor force - Unemployed - With health insurance coverage - With public coverage,0.0023840789977773395
Health Insurance Coverage - Civilian noninstitutionalized population 19 to 64 years - In labor force - Unemployed - No health insurance coverage,0.001963027638490678
Health Insurance Coverage - Civilian noninstitutionalized population 19 to 64 years - In labor force - Employed - No health insurance coverage,0.001679046644029915
Health Insurance Coverage - Civilian noninstitutionalized population 19 to 64 years - Not in labor force - No health insurance coverage,0.0015920389177879867
"Income and benefits - Families - $75,000 to $99,999",0.0012971537412121237
Health Insurance Coverage - Civilian noninstitutionalized population 19 to 64 years - In labor force - Employed - With health insurance coverage - With public coverage,0.0010101107921885568
Health Insurance Coverage - Civilian noninstitutionalized population - With health insurance coverage,0.0009358569990184228
Industry - Civilian employed population 16 years and over - Construction,0.0008847770335189926
Income and benefits - Total households - With cash public assistance income,0.0008458417557779485
Health Insurance Coverage - Civilian noninstitutionalized population 19 to 64 years - Not in labor force,0.0006688797341885701
"Income and benefits - Total households - $10,000 to $14,999",0.0006595036587537445
Health Insurance Coverage - Civilian noninstitutionalized population 19 to 64 years - In labor force - Employed,0.0006348322428277638
Industry - Civilian employed population 16 years and over - Information,0.000632770216416281
Employment Status - Population 16 years and over - In labor force - Civilian labor force - Unemployed,0.0005430932579377671
"Income and benefits - Total households - $200,000 or more",0.0005160368151849513
"Income and benefits - Families - $35,000 to $49,999",0.00046366750707810115
"Occupation - Civilian employed population 16 years and over - Production, transportation, and material moving occupations",0.00040423556350523116
Health Insurance Coverage - Civilian noninstitutionalized population 19 to 64 years,0.0003441887682343022
Health Insurance Coverage - Civilian noninstitutionalized population 19 to 64 years - In labor force - Employed - With health insurance coverage - With private health insurance,0.00031588071550655043
Commuting to Work - Workers 16 years and over,0.0003112289379120285
Employment Status - Population 16 years and over - In labor force - Civilian labor force,0.00025057890891509314
Employment Status - Civilian labor force,0.00025057890891466196
Employment Status - Own children of the householder under 6 years,0.00023520311545898316
