Feature,success_score
Hispanic or Latino and Race - Total population - Not Hispanic or Latino - White alone,0.21873830322003393
Race - Total population - One race - White,0.1772814337007919
Race - Total population - One race - Asian - Asian Indian,0.16866321318101068
Race alone or in combination with one or more other races - Total population - White,0.1587402924322952
Race - Total population - One race - Asian - Japanese,0.15332016890896938
Race - Total population - One race - Asian - Korean,0.130809547398399
Race - Total population - Two or more races - White and Asian,0.10357029744370855
Race - Total population - One race - Native Hawaiian and Other Pacific Islander - Chamorro,0.08625867358595767
Hispanic or Latino and Race - Total population - Not Hispanic or Latino - Asian alone,0.048750640403812794
Race - Total population - One race - Asian,0.048390157844127334
Race alone or in combination with one or more other races - Total population - Asian,0.047102530163577426
Race - Total population - One race - American Indian and Alaska Native - Navajo tribal grouping,0.046536590624606584
Race - Total population - One race - American Indian and Alaska Native - Chippewa tribal grouping,0.040364621174865487
Race - Total population - One race - Asian - Filipino,0.029834662633755674
Race - Total population - One race - Asian - Other Asian,0.027893801061988542
ZIP Code,0.012027697851036018
Hispanic or Latino and Race - Total population - Not Hispanic or Latino - Two or more races - Two races including Some other race,0.003377866631298518
Sex and Age - Total population - 85 years and over,0.0006334747406712766
Hispanic or Latino and Race - Total population - Not Hispanic or Latino - Native Hawaiian and Other Pacific Islander alone,-0.006614998508658674
Race - Total population - One race - Native Hawaiian and Other Pacific Islander - Samoan,-0.010049101159228444
Hispanic or Latino and Race - Total population - Hispanic or Latino (of any race) - Mexican,-0.011689706502977175
Race - Total population - Two or more races - White and American Indian and Alaska Native,-0.011954137748137897
Sex and Age - Total population - 65 years and over - Male,-0.018745281685563983
Race - Total population - One race - American Indian and Alaska Native - Sioux tribal grouping,-0.019845570404801175
Hispanic or Latino and Race - Total population - Hispanic or Latino (of any race) - Cuban,-0.05304064163347832
Race - Total population - One race - American Indian and Alaska Native - Cherokee tribal grouping,-0.05563429049736784
Race - Total population - One race - Native Hawaiian and Other Pacific Islander - Other Pacific Islander,-0.06435427948609324
Sex and Age - Total population - 75 to 84 years,-0.06763432835297711
Sex and Age - Total population - 65 years and over,-0.06921028230354678
Sex and Age - Total population - 65 years and over.1,-0.06921028230354678
Race - Total population - One race - Asian - Chinese,-0.08020888234284732
Sex and Age - Total population - 65 to 74 years,-0.0854116910497802
Hispanic or Latino and Race - Total population - Not Hispanic or Latino - Two or more races,-0.09154257583744896
Sex and Age - Total population - 62 years and over,-0.09171733610889274
Sex and Age - Total population - 55 to 59 years,-0.09489994372759512
Race - Total population - One race - Native Hawaiian and Other Pacific Islander,-0.09608796425208291
Race - Total population - One race - American Indian and Alaska Native,-0.10179860781635221
Sex and Age - Total population - 65 years and over - Female,-0.10490114980018726
"Citizen, voting age population - Citizen, 18 and over population - Male",-0.10540584466084553
Hispanic or Latino and Race - Total population - Not Hispanic or Latino,-0.10578741450642963
"Hispanic or Latino and Race - Total population - Not Hispanic or Latino - Two or more races - Two races excluding Some other race, and Three or more races",-0.10632549771369368
Sex and Age - Total population - 18 years and over - Male,-0.1151862227038479
Race - Total population - One race - Native Hawaiian and Other Pacific Islander - Native Hawaiian,-0.12118505551922819
Race - Total population - One race - Asian - Vietnamese,-0.12320002182644571
Race - Total population - Two or more races - White and Black or African American,-0.1296662554238656
"Citizen, voting age population - Citizen, 18 and over population",-0.1339057711166038
Sex and Age - Total population - 21 years and over,-0.13622935389084467
Sex and Age - Total population - 45 to 54 years,-0.13778329734213812
Sex and Age - Total population - 25 to 34 years,-0.13872783051734577
Sex and Age - Total population - 18 years and over,-0.1403518290706555
Sex and Age - Total population - 18 years and over.1,-0.1403518290706555
Sex and Age - Total population - 20 to 24 years,-0.14172161972407588
Sex and Age - Total population - 16 years and over,-0.14408986854698272
Sex and Age - Total population - 60 to 64 years,-0.1533686407855404
Sex and Age - Total population - 35 to 44 years,-0.15453277208850474
Hispanic or Latino and Race - Total population - Not Hispanic or Latino - American Indian and Alaska Native alone,-0.15528183399629442
Hispanic or Latino and Race - Total housing units,-0.1564787627423793
"Citizen, voting age population - Citizen, 18 and over population - Female",-0.15827947344061982
Sex and Age - Total population - 18 years and over - Female,-0.16224837716238272
Sex and Age - Total population - Male,-0.16340397899333337
Hispanic or Latino and Race - Total population - Not Hispanic or Latino - Some other race alone,-0.17134783849575558
Race - Total population - One race.1,-0.1720948326626102
Race - Total population - One race,-0.1720948326626102
Race alone or in combination with one or more other races - Total population,-0.17523001256181406
Race - Total population,-0.17523001256181406
Sex and Age - Total population,-0.17523001256181406
Hispanic or Latino and Race - Total population,-0.17523001256181406
Sex and Age - Total population - Female,-0.18540003622535922
Sex and Age - Total population - 15 to 19 years,-0.18833899200324522
Race - Total population - Two or more races,-0.1913243124796326
Race - Total population - Two or more races.1,-0.1913243124796326
Race alone or in combination with one or more other races - Total population - American Indian and Alaska Native,-0.19582055423726244
Race alone or in combination with one or more other races - Total population - Native Hawaiian and Other Pacific Islander,-0.26532759899256214
Sex and Age - Total population - 5 to 9 years,-0.2741459449494031
Sex and Age - Total population - Under 18 years,-0.276511975479356
Sex and Age - Total population - 10 to 14 years,-0.2782220271799973
Sex and Age - Total population - Under 5 years,-0.27888860519235614
Hispanic or Latino and Race - Total population - Hispanic or Latino (of any race) - Puerto Rican,-0.2818951963230852
Race alone or in combination with one or more other races - Total population - Some other race,-0.2882159436709694
Race - Total population - One race - Some other race,-0.2934572504762759
Hispanic or Latino and Race - Total population - Hispanic or Latino (of any race),-0.2993327205637579
Hispanic or Latino and Race - Total population - Hispanic or Latino (of any race) - Other Hispanic or Latino,-0.3313834540857811
Race - Total population - Two or more races - Black or African American and American Indian and Alaska Native,-0.3628972134107581
Race alone or in combination with one or more other races - Total population - Black or African American,-0.46819827054839114
Hispanic or Latino and Race - Total population - Not Hispanic or Latino - Black or African American alone,-0.4683385676198001
Race - Total population - One race - Black or African American,-0.47260452058329566
