Feature,Importance
"Income and benefits - Families - $35,000 to $49,999",0.23709328211461259
Health Insurance Coverage - Civilian noninstitutionalized population 19 to 64 years - In labor force - Unemployed,0.04047512017721323
CLass of worker - Civilian employed population 16 years and over,0.03159991226752487
"Income and benefits - Families - $75,000 to $99,999",0.027616713034951435
"Income and benefits - Median earnings for female full-time, year-round workers (dollars)",0.025484268581722213
Income and benefits - Median earnings for workers (dollars),0.024911855226531596
"Commuting to Work - Workers 16 years and over - Car, truck, or van -- carpooled",0.023029494713259546
Employment Status - Own children of the householder under 6 years - All parents in family in labor force,0.020920479594185113
Health Insurance Coverage - Civilian noninstitutionalized population 19 to 64 years - Not in labor force - With health insurance coverage - With public coverage,0.017675502029246237
Health Insurance Coverage - Civilian noninstitutionalized population 19 to 64 years - In labor force - Unemployed - With health insurance coverage - With public coverage,0.01059872749780596
"Income and benefits - Median earnings for female full-time, year-round workers (dollars)_53682",0.009119885047493153
Income and benefits - Families - Median family income (dollars)_104714,0.00895972154020666
Income and benefits - Total households - With Social Security - Mean Social Security income (dollars)_20593,0.008785300169340768
Income and benefits - Total households - Mean household income (dollars)_90364,0.008209119880601799
"Income and benefits - Median earnings for male full-time, year-round workers (dollars)_49384",0.00817293605606386
Income and benefits - Median earnings for workers (dollars)_39821,0.00796082243552273
Income and benefits - Total households - Mean household income (dollars)_155048,0.007958534289797594
Income and benefits - Total households - With retirement income - Mean retirement income (dollars)_25520,0.007944665327207986
Income and benefits - Total households - With cash public assistance income - Mean cash public assistance income (dollars)_7174,0.00791729326535765
Income and benefits - Families - Median family income (dollars)_105707,0.007652103111857109
Health Insurance Coverage - Civilian noninstitutionalized population under 19 years,0.007581558597930939
Income and benefits - Total households - With retirement income - Mean retirement income (dollars)_39966,0.007339522251513622
Income and benefits - Nonfamily households - Mean nonfamily income (dollars)_50898,0.007042366132939547
Income and benefits - Total households - With cash public assistance income - Mean cash public assistance income (dollars)_4784,0.006906941003022349
"Income and benefits - Median earnings for male full-time, year-round workers (dollars)_72599",0.006855136186629501
Income and benefits - Families - Mean family income (dollars)_93527,0.006742359683187069
"Income and benefits - Median earnings for female full-time, year-round workers (dollars)_69798",0.006523674463878209
Income and benefits - Nonfamily households - Mean nonfamily income (dollars)_53967,0.006481528259753249
Income and benefits - Total households - Mean household income (dollars)_87106,0.0060394692301171836
Income and benefits - Total households - With cash public assistance income - Mean cash public assistance income (dollars)_1453,0.005722592345375615
Income and benefits - Families - Median family income (dollars)_174861,0.005492905787108617
"Income and benefits - Median earnings for male full-time, year-round workers (dollars)_91020",0.0054431923088658785
"Income and benefits - Median earnings for male full-time, year-round workers (dollars)_93031",0.005364429609564958
Income and benefits - Total households - With retirement income - Mean retirement income (dollars)_32153,0.0053445958328895106
