Feature,Importance
"Income and benefits - Families - Less than $10,000",-0.02962805457866905
ZIP Code,-0.01755211443521639
"Industry - Civilian employed population 16 years and over - Agriculture, forestry, fishing and hunting, and mining",-0.014281550691819678
Health Insurance Coverage - Civilian noninstitutionalized population under 19 years,-0.010302216356628558
"Income and benefits - Total households - $25,000 to $34,999",-0.008122380617784142
Health Insurance Coverage - Civilian noninstitutionalized population 19 to 64 years - Not in labor force - No health insurance coverage,-0.008059644182315574
Health Insurance Coverage - Civilian noninstitutionalized population 19 to 64 years - Not in labor force - With health insurance coverage - With public coverage,-0.006333158761048352
Income and benefits - Total households - With cash public assistance income,-0.006101058451639718
"Income and benefits - Families - $15,000 to $24,999",-0.00518452734816478
Health Insurance Coverage - Civilian noninstitutionalized population 19 to 64 years - Not in labor force - With health insurance coverage,-0.004423156351526269
"Income and benefits - Total households - $15,000 to $24,999",-0.004386684048457412
Employment Status - Own children of the householder under 6 years - All parents in family in labor force,-0.0040478273172109055
"Income and benefits - Families - $75,000 to $99,999",-0.0030353132548929795
Commuting to Work - Workers 16 years and over - Mean travel time to work (minutes),-0.0029852980355111304
Income and benefits - Total households - With Supplemental Security Income,-0.002919311586089668
"Income and benefits - Families - $50,000 to $74,999",-0.0026246974599245963
Health Insurance Coverage - Civilian noninstitutionalized population,-0.0022986720824539454
Income and benefits - Per capita income (dollars),-0.0011503247027881524
Occupation - Civilian employed population 16 years and over - Service occupations,-0.001138680868989228
Employment Status - Females 16 years and over - In labor force,-0.0006212133253509333
Employment Status - Population 16 years and over,-0.00040016593430166616
Employment Status - Population 16 years and over - Not in labor force,-0.00036385054789614955
Health Insurance Coverage - Civilian noninstitutionalized population 19 to 64 years - In labor force - Unemployed - With health insurance coverage - With private health insurance,-0.0002766558247965678
Commuting to Work - Workers 16 years and over - Public transportation (excluding taxicab),-0.0001967094686843862
"Industry - Civilian employed population 16 years and over - Arts, entertainment, and recreation, and accommodation and food services",-0.0001846726731323245
"Industry - Civilian employed population 16 years and over - Transportation and warehousing, and utilities",-0.00015548130821553264
Health Insurance Coverage - Civilian noninstitutionalized population 19 to 64 years - In labor force - Employed - No health insurance coverage,-0.00015063203892089482
"Income and benefits - Families - $35,000 to $49,999",-0.0001490424400217072
Income and benefits - Families,-0.00011309790307720836
"Occupation - Civilian employed population 16 years and over - Production, transportation, and material moving occupations",-0.00010739714998947436
Health Insurance Coverage - Civilian noninstitutionalized population - With health insurance coverage - With public coverage,-8.693502677025178e-05
Health Insurance Coverage - Civilian noninstitutionalized population 19 to 64 years - In labor force,-8.157972992548502e-05
"Income and benefits - Families - $100,000 to $149,999",-7.218024939971146e-05
CLass of worker - Civilian employed population 16 years and over - Private wage and salary workers,-7.163940426806459e-05
Income and benefits - Total households,-6.355998716679467e-05
CLass of worker - Civilian employed population 16 years and over - Self-employed in own not incorporated business workers,-6.201889403135707e-05
"Income and benefits - Families - $25,000 to $34,999",-5.833154544064856e-05
Health Insurance Coverage - Civilian noninstitutionalized population 19 to 64 years - In labor force - Employed - With health insurance coverage - With public coverage,-5.065411521620877e-05
Industry - Civilian employed population 16 years and over - Retail trade,-5.0062680432427785e-05
Employment Status - Own children of the householder 6 to 17 years - All parents in family in labor force,-4.725007659530656e-05
Health Insurance Coverage - Civilian noninstitutionalized population 19 to 64 years - In labor force - Unemployed - With health insurance coverage,-3.233388982230023e-05
"Income and benefits - Total households - $50,000 to $74,999",-3.0083187503360254e-05
"Income and benefits - Total households - Less than $10,000",-2.8993396725207622e-05
Health Insurance Coverage - Civilian noninstitutionalized population 19 to 64 years,-2.8180152010237603e-05
"Commuting to Work - Workers 16 years and over - Car, truck, or van -- drove alone",-2.5977552863409857e-05
CLass of worker - Civilian employed population 16 years and over - Government workers,-2.595510780485366e-05
Industry - Civilian employed population 16 years and over - Construction,-1.947813699788581e-05
Health Insurance Coverage - Civilian noninstitutionalized population - No health insurance coverage,-1.6750764540229835e-05
"Industry - Civilian employed population 16 years and over - Educational services, and health care and social assistance",-1.5241319548842114e-05
Employment Status - Own children of the householder under 6 years,-1.2541617370631641e-05
Employment Status - Population 16 years and over - In labor force,-4.904203431721488e-06
Employment Status - Females 16 years and over - In labor force - Civilian labor force - Employed,-4.812122505770677e-06
Income and benefits - Nonfamily households - Mean nonfamily income (dollars),-1.2214109946118156e-06
"Income and benefits - Median earnings for female full-time, year-round workers (dollars)",-2.550320966410169e-07
