Feature,Importance
Sex and Age - Total population - Under 5 years,0.08114823538434134
Race - Total population - One race - Black or African American,0.07903267980279134
Hispanic or Latino and Race - Total population - Not Hispanic or Latino - Black or African American alone,0.07466898124077959
Race alone or in combination with one or more other races - Total population - Black or African American,0.07091430386352973
Sex and Age - Total population - Sex ratio (males per 100 females)_99.7,0.04435554854958727
Sex and Age - Total population - Sex ratio (males per 100 females)_97.4,0.0406656084731723
Race - Total population - One race - Asian - Vietnamese,0.036400563870943446
ZIP Code,0.026798736456050617
Sex and Age - Total population - 65 years and over - Sex ratio (males per 100 females)_70.2,0.026779801159942565
Race - Total population - Two or more races - Black or African American and American Indian and Alaska Native,0.0249676021895155
Sex and Age - Total population - 20 to 24 years,0.02315932922792947
Sex and Age - Total population - 18 years and over - Sex ratio (males per 100 females)_88.7,0.02210621216967844
Sex and Age - Total population - 18 years and over - Sex ratio (males per 100 females)_96.5,0.021686379723551936
Sex and Age - Total population - 18 years and over - Sex ratio (males per 100 females)_82.5,0.02028444346721948
Sex and Age - Total population - Sex ratio (males per 100 females)_100.0,0.019485264280603456
Sex and Age - Total population - 65 years and over - Sex ratio (males per 100 females)_66.1,0.01756317150436264
Race alone or in combination with one or more other races - Total population - Native Hawaiian and Other Pacific Islander,0.017144854279412716
Sex and Age - Total population - Median age (years)_34.6,0.016327287745127914
Sex and Age - Total population - Sex ratio (males per 100 females)_82.5,0.015507142100152103
Sex and Age - Total population - Sex ratio (males per 100 females)_103.5,0.015102517499678498
Sex and Age - Total population - Median age (years)_39.1,0.013348731040972138
Sex and Age - Total population - 65 years and over - Sex ratio (males per 100 females)_76.3,0.012403766341903356
Sex and Age - Total population - Median age (years)_38.8,0.012121197507545596
Sex and Age - Total population - Median age (years)_40.8,0.011856501003278105
Sex and Age - Total population - 18 years and over - Sex ratio (males per 100 females)_74.1,0.011509462901502067
Sex and Age - Total population - 65 years and over - Sex ratio (males per 100 females)_96.4,0.011072362839719045
Sex and Age - Total population - 65 years and over - Sex ratio (males per 100 females)_97.7,0.010725753520201418
Sex and Age - Total population - 65 years and over - Sex ratio (males per 100 females)_66.4,0.010237456337373602
Sex and Age - Total population - 18 years and over - Sex ratio (males per 100 females)_97.9,0.010214922793900986
Sex and Age - Total population - 18 years and over - Sex ratio (males per 100 females)_93.3,0.009473157602046615
Sex and Age - Total population - Median age (years)_46.9,0.008789491742911918
Sex and Age - Total population - 18 years and over - Sex ratio (males per 100 females)_87.8,0.008697618651057004
Sex and Age - Total population - Sex ratio (males per 100 females)_104.7,0.007832956393015244
Sex and Age - Total population - 65 years and over - Sex ratio (males per 100 females)_105.7,0.007579274192782373
Sex and Age - Total population - 18 years and over - Sex ratio (males per 100 females)_96.1,0.007503855185543351
Race - Total population - One race - Native Hawaiian and Other Pacific Islander - Other Pacific Islander,0.006430671936222217
Sex and Age - Total population - Median age (years)_43.0,0.0062170363239419536
Hispanic or Latino and Race - Total population - Hispanic or Latino (of any race) - Other Hispanic or Latino,0.0059943046506101445
Race - Total population - One race - Asian - Japanese,0.005680780441010404
Race - Total population - One race - Asian - Asian Indian,0.0056524687844659504
Race - Total population - One race - Native Hawaiian and Other Pacific Islander,0.005425853383442848
Sex and Age - Total population - 85 years and over,0.005047920106105377
Sex and Age - Total population - Sex ratio (males per 100 females)_96.6,0.004928259231237528
Sex and Age - Total population - Median age (years)_39.5,0.00454095862165325
Sex and Age - Total population - 25 to 34 years,0.004493660949653958
Sex and Age - Total population - 65 to 74 years,0.0043349942640959534
Hispanic or Latino and Race - Total housing units,0.003999318041296254
Race - Total population - One race - White,0.003839763777434557
Sex and Age - Total population - 18 years and over - Sex ratio (males per 100 females)_98.0,0.0037342859641389097
Race - Total population - One race - Asian,0.0035917973854631842
Sex and Age - Total population - Sex ratio (males per 100 females)_82.3,0.0035267365075975243
Hispanic or Latino and Race - Total population - Not Hispanic or Latino - Some other race alone,0.0030659838446023355
Sex and Age - Total population - 65 years and over - Female,0.0029993896884883543
Hispanic or Latino and Race - Total population - Not Hispanic or Latino - Two or more races - Two races including Some other race,0.0027990706896257674
Sex and Age - Total population - Median age (years)_40.5,0.002722690150395174
Sex and Age - Total population - 15 to 19 years,0.002571677631096878
Hispanic or Latino and Race - Total population - Not Hispanic or Latino - Asian alone,0.0023246107797633858
Hispanic or Latino and Race - Total population - Hispanic or Latino (of any race) - Puerto Rican,0.0023144896892992014
Sex and Age - Total population - 65 years and over - Sex ratio (males per 100 females)_81.9,0.0021800437044028017
Hispanic or Latino and Race - Total population - Not Hispanic or Latino - American Indian and Alaska Native alone,0.0021710277363315798
Race - Total population - One race - American Indian and Alaska Native,0.002139964666767618
Race - Total population - One race - Asian - Korean,0.002088920772429712
Hispanic or Latino and Race - Total population - Not Hispanic or Latino - Two or more races,0.0018989185944829018
Race - Total population - Two or more races - White and American Indian and Alaska Native,0.0018581552212129176
Sex and Age - Total population - 65 years and over - Sex ratio (males per 100 females)_77.0,0.001836457588773366
Race - Total population - One race - Asian - Other Asian,0.0018341005013665632
Race - Total population - One race - Asian - Chinese,0.0018115143729024155
Hispanic or Latino and Race - Total population - Not Hispanic or Latino - Native Hawaiian and Other Pacific Islander alone,0.0017894228802123355
Hispanic or Latino and Race - Total population - Hispanic or Latino (of any race),0.00166408569582582
Sex and Age - Total population - 18 years and over - Male,0.0016523198802909235
Race alone or in combination with one or more other races - Total population - Asian,0.0015905366864143269
Race - Total population - One race - Some other race,0.0015741005208515116
Hispanic or Latino and Race - Total population - Hispanic or Latino (of any race) - Mexican,0.0015331972985830396
Sex and Age - Total population - 65 years and over - Sex ratio (males per 100 females)_73.4,0.0015237136880322621
Race - Total population - Two or more races - White and Asian,0.0013931965113149053
Sex and Age - Total population - Under 18 years,0.0013852391098950307
Sex and Age - Total population - 18 years and over - Sex ratio (males per 100 females)_93.2,0.0012895263899826313
Sex and Age - Total population - 16 years and over,0.0012856396812072537
"Citizen, voting age population - Citizen, 18 and over population",0.0012071079936506824
Hispanic or Latino and Race - Total population - Hispanic or Latino (of any race) - Cuban,0.001191097261435802
Race - Total population - One race - Asian - Filipino,0.0011370022101636944
Sex and Age - Total population - 65 years and over - Sex ratio (males per 100 females)_59.4,0.0010936262893784523
Sex and Age - Total population - 65 years and over,0.0009873830968270664
Sex and Age - Total population - 65 years and over - Sex ratio (males per 100 females)_56.4,0.0009670576626757192
Sex and Age - Total population - 75 to 84 years,0.0009333026742505203
"Hispanic or Latino and Race - Total population - Not Hispanic or Latino - Two or more races - Two races excluding Some other race, and Three or more races",0.0008211952295361527
Sex and Age - Total population - Median age (years)_33.3,0.0008134131512568109
Sex and Age - Total population - Median age (years)_41.9,0.0007108911705312861
Sex and Age - Total population - Sex ratio (males per 100 females)_92.0,0.0007097200933145975
Sex and Age - Total population - 18 years and over - Sex ratio (males per 100 females)_99.7,0.0006530241126494847
Race - Total population - Two or more races.1,0.0005551930323213122
Sex and Age - Total population - 65 years and over - Sex ratio (males per 100 females)_59.3,0.0005341428929589082
Hispanic or Latino and Race - Total population - Not Hispanic or Latino,0.0005055248136395795
Sex and Age - Total population - 65 years and over - Sex ratio (males per 100 females)_77.1,0.0004830585422717635
Sex and Age - Total population - Median age (years)_28.9,0.00048144061757903075
Sex and Age - Total population - Median age (years)_34.9,0.00047615201714220403
Sex and Age - Total population - 65 years and over - Male,0.0004528976869220494
Sex and Age - Total population - Median age (years)_28.8,0.0004528006742656497
Race - Total population - One race.1,0.00045170494648833057
Sex and Age - Total population - 65 years and over - Sex ratio (males per 100 females)_136.9,0.0004474899946839828
Sex and Age - Total population - 18 years and over - Sex ratio (males per 100 females)_75.6,0.00041996231552479245
Sex and Age - Total population - 18 years and over - Female,0.00041725413885237777
Sex and Age - Total population - 65 years and over - Sex ratio (males per 100 females)_55.1,0.00033085048095594677
Sex and Age - Total population - 18 years and over - Sex ratio (males per 100 females)_98.4,0.00033052161580071453
Sex and Age - Total population - 18 years and over - Sex ratio (males per 100 females)_136.5,0.0003168134864037249
Race - Total population - One race - Native Hawaiian and Other Pacific Islander - Samoan,0.00031669936404657477
Race - Total population,0.00031181982916690134
Race alone or in combination with one or more other races - Total population - American Indian and Alaska Native,0.0002990663188984063
Sex and Age - Total population - Sex ratio (males per 100 females)_129.2,0.0002766824162250943
Sex and Age - Total population - 55 to 59 years,0.0002648661268913832
Sex and Age - Total population - Sex ratio (males per 100 females)_89.7,0.0002384744925591549
Sex and Age - Total population - 65 years and over.1,0.00023273021114189322
Race - Total population - Two or more races - White and Black or African American,0.0001958494769023161
"Citizen, voting age population - Citizen, 18 and over population - Female",0.00015273392696076648
Sex and Age - Total population - 18 years and over - Sex ratio (males per 100 females)_86.7,0.00014283261272405673
Sex and Age - Total population - Sex ratio (males per 100 females)_105.5,0.00013767911502921142
Sex and Age - Total population - 18 years and over.1,0.0001369123021257833
Sex and Age - Total population - Median age (years)_33.1,0.00012876605051290126
Race - Total population - One race,0.00012831470603097753
"Citizen, voting age population - Citizen, 18 and over population - Male",0.00011619506517676953
Race alone or in combination with one or more other races - Total population,9.96774425055154e-05
Sex and Age - Total population - Male,9.451303275994787e-05
Race alone or in combination with one or more other races - Total population - Some other race,8.258579221009006e-05
